"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q15361_TTF1",0.0372581836409367,17.4243322961025,0.248594246341085,0.810429379797297,0.865584997482377,-7.86254583204662
"Q15363_TMED2",0.262183669590982,21.0908160526989,2.81848559225536,0.024376150146534,0.0547943745575573,-4.84039957117217
"Q15365_PCBP1",-0.113531520407157,25.062840711649,-2.2328486504376,0.0584232208342238,0.110665392288811,-5.7363850367206
"Q15366_PCBP2",-0.158708472744802,24.1435356139599,-1.96849971542339,0.0871671877392714,0.151867171893056,-6.13087932615634
"Q15369_ELOC",0.0159611393026715,21.4399726313168,0.223622088548972,0.829055503554393,0.88059232131092,-7.86920166654507
"Q15370_ELOB",0.103935692855451,23.0002774617949,1.99109935568359,0.0842441628981601,0.147514114831982,-6.09768840418273
"Q15382_RHEB",-0.0919554409844814,20.4791575888111,-1.71470729661589,0.127488420531623,0.206100438774425,-6.49419380162849
"Q15386_UBE3C",0.308434427576561,19.6189665297578,3.86189765279189,0.00548745305286467,0.016998208504518,-3.26342132061097
"Q15388_TOMM20",0.129316764839452,21.8401773769727,1.23565591812049,0.255497417891828,0.357365544477334,-7.10999980571128
"Q15390_MTFR1",0.0171197051136645,18.119807342079,0.218301785718865,0.833049180701913,0.883309429468256,-7.87052443073143
"Q15392_DHCR24",0.48015818053964,21.9204780348496,6.63814491552207,0.000222794492001099,0.00149440340347857,0.241699996851498
"Q15393_SF3B3",0.0990242042966898,23.0488712101253,2.01497523844735,0.0812600610816408,0.143471863041373,-6.06249846469698
"Q15397_PUM3",-0.0736760902570488,20.1513302408889,-0.965769636946164,0.364432005625273,0.472858568059269,-7.39979832659542
"Q15398_DLGAP5",-0.602125126229016,18.7908391931387,-6.44816235960153,0.000268795667527984,0.00169970461393833,0.03447323785847
"Q15404_RSU1",-0.0920315598495165,20.6820242647413,-0.946520503605498,0.373859448477293,0.482714994698346,-7.41802461843004
"Q15413_RYR3",0.0949019827239859,16.9304719099811,0.523765111470458,0.616092380130362,0.70955502351561,-7.74440719208688
"Q15418_RPS6KA1",0.454800680156016,18.7328652070565,7.56362177308997,9.42626770329754e-05,0.000795406364146906,1.19243871034989
"Q15424_SAFB",-0.143457647657591,21.7064096963381,-2.79067192969082,0.0252250207662439,0.0563380904931155,-4.87968456550407
"Q15427_SF3B4",0.12813304312948,21.6802236677249,2.0997728904098,0.0714766702713463,0.129641552603664,-5.93656459300164
"Q15428_SF3A2",-0.0732409667304736,20.5256282184675,-1.11780517490194,0.298367165984352,0.404389057516952,-7.24332296988243
"Q15435_PPP1R7",0.0127392458576914,21.0011672558755,0.191263210064109,0.853423964887036,0.899052805782195,-7.87676026344895
"Q15436_SEC23A",-0.242593954344638,21.4700723214289,-4.24278110156193,0.00331604831147845,0.0115128016990249,-2.71922730250077
"Q15437_SEC23B",-0.0542665043994788,21.1539725763158,-0.940392125617719,0.376476318641042,0.484947170347223,-7.42421257374106
"Q15438_CYTH1",-0.0728249866676833,16.6512715437317,-0.533960444581186,0.60891309708914,0.703299686847934,-7.73898318065828
"Q15459_SF3A1",-0.0724199462810375,22.0857501089364,-1.64764194247868,0.140789079198481,0.223259180765897,-6.58673744583253
"Q15464_SHB",-0.107070392515636,15.6666778850525,-1.20943492000929,0.263441725593717,0.365984370736683,-7.14116799951808
"Q15477_SKIC2",0.309650095887861,18.8950081827236,5.02106841763936,0.00126654353339519,0.00550143795747693,-1.67035908103016
"Q15526_SURF1",0.630648623853336,20.0454059446286,8.11639678857949,5.8628086814353e-05,0.000561073091314553,1.71770322440413
"Q15527_SURF2",0.247519141834477,19.0846978545559,4.20955954803255,0.00346199815875512,0.0119006186707207,-2.76590927372596
"Q15528_MED22",-0.0828973611405885,17.8019613889417,-1.07897323843926,0.314261117146278,0.421421898014962,-7.28489207191926
"Q15532_SS18",-0.284309008177932,17.6733555944217,-3.15904177582154,0.0146860530831757,0.0367993693283769,-4.31338178731922
"Q15542_TAF5",0.0746769030921115,17.7498111881127,1.01412428754594,0.342294909564128,0.450372048891932,-7.35189258740674
"Q15543_TAF13",0.136118335775127,16.4489937056962,1.22228899626503,0.258825018528347,0.360948060315434,-7.12639994505346
"Q15544_TAF11",0.100049850618426,16.0864134601637,1.33176394526191,0.222205896317159,0.319616947760053,-6.99654923314929
"Q15545_TAF7",-0.189879842807954,19.0308720378144,-3.5206998754327,0.00877397150568487,0.0245238837997037,-3.76659103618922
"Q15554_TERF2",0.225686118999963,18.8168131601481,3.12919719457083,0.0153352907551377,0.0380291841976221,-4.35899460979477
"Q15555_MAPRE2",-0.193677372094442,15.8299472533654,-1.57009691359653,0.17231981520711,0.26162339382665,-6.48786617579047
"Q15560_TCEA2",0.144356613671132,17.0923014895284,1.2300081906049,0.256085295682528,0.358041712782173,-7.11748142183752
