"","LTED_0","LTED_2","LTED_5","LTED_10","LTED_30","LTED_60","LTED_120","TAMR_0","TAMR_2","TAMR_5","TAMR_10","TAMR_30","TAMR_60","TAMR_120"
"MARK2",0.391203170972542,0.68585447149505,0.457673796419755,0.0994230234979135,0.000461728375735396,-0.354339532326971,0.688494701335075,-1.38413445275336,-2.11555487276551,-1.57565472047595,-2.38138198925371,-1.75131966986928,-1.75430847714825,-1.41653708879579
"MARK3",0.173143783815897,-0.285778068156322,0.323618328650618,-0.0394417857743041,-0.21735420717419,0.0937022315562096,0.529419245864226,-3.1192676918973,-4.22531873100318,-3.75486239994799,-4.54676766970871,-4.09620711380746,-3.79767969940946,-3.91261456229666
"MELK",-0.0135415312331726,-0.0473991748213091,-0.265670997923529,-0.462589054313984,-0.405498653551482,-0.696002715381866,-0.494964389532811,-0.434349396988621,-2.16655047594074,-1.46384716288516,-0.776919907777527,-0.562010774297034,-0.860203363766056,-0.870394005473413
"MTOR",-1.58544304048202,-1.30886850804786,-2.39096378627634,-0.944723936156712,-1.49854917683553,0.0964824555412672,-0.936312844651607,-2.30013468544844,-1.55525821357752,-3.02311152994523,-2.13204031478098,-2.30174811942637,-2.18776421095171,-1.31692362876441
"NEK3",0.27368312083404,0.815728868551975,1.13003723252407,0.677586918546074,1.28689604898683,1.46115914449421,2.17491707465741,0.845887658396031,0.130696911825635,0.608270732020438,0.295108007986589,-0.450276131036254,1.2618455420058,1.05041032052198
"NLK",0.756332441254333,0.540256863035471,0.418706895359285,0.890530320642261,1.42268070672471,1.59077603965373,2.65239377832692,-2.56007049981908,-1.4197053024689,-1.97868925066813,-2.26731092192935,-1.89258521202064,-1.709806107435,-2.07869099339394
"PAK1",6.74356397049246,7.56146551392084,8.01827479640498,6.77254198335868,7.61757810276323,8.95057780712949,8.984976052371,3.36779347387922,4.82347683193813,4.63036465778035,4.18901132338652,4.72976520140805,5.15522448896886,5.48495165584677
"PAK2",3.34582440902358,2.24222306967587,3.17291464326641,3.17878970725394,1.75670239270447,2.60339582193729,4.66536949241207,2.99111884615154,2.97042025105473,3.34762428565174,2.3123066733693,1.93542399626148,2.25031789204332,2.61868380913674
"PAK4",3.13827564148023,3.22046138740794,3.91622343274633,4.12866813303463,3.54741624177438,4.26892506946112,4.23613748754218,3.32297069433769,2.49726977798068,4.4714247161007,4.09198799143939,3.76476966605395,4.2946597664098,4.05629086681473
"PBK",0.341653128676214,0.0680668854180683,0.229813321396075,0.609919079401774,1.26939239293099,0.71912061243964,0.945275427029594,NA,2.33649544011117,0.808500310980421,1.34832243602962,1.37082078288139,1.58924029141201,1.76812312648928
"PDK1",-1.11519228105107,-1.65161744610349,-1.28292053928213,-0.181135553606563,0.393533357392037,1.10664049838355,-0.593574055662719,-1.74442513271221,-1.64175143111,-2.02001013280753,-1.52497473890057,-0.73864642814207,-0.803976421789248,-1.87723031977178
"PDPK1",-1.5805405176323,-2.0301720591653,-1.0252378031835,-0.696486103488681,-0.359014164822798,-0.671263799828331,-0.963639888340455,-1.26658458261359,-1.15996618241394,-1.48831021658285,-0.637054701318888,-0.849264882358476,-1.37967970749562,-1.53123941992103
